path,category,audit_owner,review_status,notes
.agents/skills/fyp-harness-maintenance/SKILL.md,agent_harness,WF code:harness,partially_read,skills light review
.agents/skills/fyp-meetup-brief/SKILL.md,agent_harness,WF code:harness,partially_read,skills light review
.agents/skills/fyp-report-audit/SKILL.md,agent_harness,WF code:harness,partially_read,skills light review
.agents/skills/fyp-second-judge/SKILL.md,agent_harness,WF code:harness,partially_read,skills light review
.claude/launch.json,agent_harness,-,not_reviewed,
.claude/skills/fyp-agent-handoff/SKILL.md,agent_harness,WF code:harness,partially_read,fyp skills light review
.claude/skills/fyp-todo-capture/SKILL.md,agent_harness,WF code:harness,partially_read,fyp skills light review
.claude/skills/html-diagram/SKILL.md,agent_harness,WF code:harness,partially_read,fyp skills light review
.claude/skills/html-diagram/references/architecture-example.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/01-exploration-code-approaches.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/02-exploration-visual-designs.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/03-code-review-pr.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/04-code-understanding.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/05-design-system.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/06-component-variants.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/07-prototype-animation.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/08-prototype-interaction.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/09-slide-deck.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/10-svg-illustrations.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/11-status-report.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/12-incident-report.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/13-flowchart-diagram.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/14-research-feature-explainer.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/15-research-concept-explainer.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/16-implementation-plan.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/17-pr-writeup.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/18-editor-triage-board.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/19-editor-feature-flags.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/20-editor-prompt-tuner.html,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/CODE_OF_CONDUCT.md,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/LICENSE,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/README.md,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/SECURITY.md,agent_harness,VENDORED,not_reviewed,third-party examples
.claude/skills/html-diagram/references/html-effectiveness/index.html,agent_harness,VENDORED,not_reviewed,third-party examples
.codex/agents/fyp-artifact-guardian.toml,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/agents/fyp-judge-reviewer.toml,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/agents/fyp-meetup-story.toml,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/agents/fyp-report-auditor.toml,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/agents/fyp-tc1-ops.toml,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/config.toml,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/hooks.json,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/hooks/guard_artifact_paths.py,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/hooks/pre_compact_handoff.py,agent_harness,WF code:harness,partially_read,hooks/config light review
.codex/hooks/stop_agent_check.py,agent_harness,WF code:harness,partially_read,hooks/config light review
.github/assets/asr_forest.png,agent_harness,-,not_reviewed,
.github/assets/judge_vs_proxy.png,agent_harness,-,not_reviewed,
.github/assets/precision_sweep.png,agent_harness,-,not_reviewed,
.github/workflows/agent-harness.yml,agent_harness,harness + gates,fully_read,
.gitignore,other,-,not_reviewed,
.hallmark/log.json,top_level,-,not_reviewed,
.streamlit/config.toml,top_level,-,not_reviewed,
.understand-anything/.trash-1783329573/assembled-graph.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-1.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-10.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-11.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-12.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-13.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-2.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-3-part-1.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-3-part-2.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-4.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-5-part-1.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-5-part-2.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-6.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-7.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-8.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batch-9.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/batches.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
.understand-anything/.trash-1783329573/fingerprint-input.json,tooling_cache,MAIN,executed_only,privacy leak scan only; tool cache
