absolute_delta,baseline_alias,baseline_ci_lower,baseline_ci_upper,baseline_value,benchmark,delta_ci_lower,delta_ci_upper,delta_significant,family,metric,n_paired,pair_id,quantized_alias,quantized_ci_lower,quantized_ci_upper,quantized_value,relative_delta
-0.01999999999999999,llama_3_2_3b_base,0.05,0.13,0.09,harmbench,-0.05,0.01,False,llama,attack_success_rate,200,llama_3_2_3b,llama_3_2_3b_4bit,0.035,0.105,0.07,-0.22222222222222213
0.016,llama_3_2_3b_base,0.012,0.056,0.032,xstest,-0.004,0.04,False,llama,over_refusal_rate,250,llama_3_2_3b,llama_3_2_3b_4bit,0.024,0.076,0.048,0.5
-0.036666666666666625,llama_3_2_3b_base,0.5533333333333333,0.6634166666666662,0.61,mmlu,-0.07333333333333333,0.0,False,llama,accuracy,300,llama_3_2_3b,llama_3_2_3b_4bit,0.5166666666666667,0.63,0.5733333333333334,-0.060109289617486274
-0.03156996587030725,llama_3_2_3b_base,0.7022184300341296,0.7542662116040956,0.7295221843003413,arc,-0.04863481228668942,-0.012798634812286689,True,llama,accuracy,1172,llama_3_2_3b,llama_3_2_3b_4bit,0.6715017064846417,0.7252559726962458,0.6979522184300341,-0.0432748538011697
0.06000000000000005,mistral_7b_base,0.78,0.88,0.83,harmbench,0.015,0.105,True,mistral,attack_success_rate,200,mistral_7b,mistral_7b_4bit,0.845,0.9301249999999993,0.89,0.07228915662650609
0.0,mistral_7b_base,0.0,0.012,0.004,xstest,-0.012,0.012,False,mistral,over_refusal_rate,250,mistral_7b,mistral_7b_4bit,0.0,0.012,0.004,0.0
-0.020000000000000018,mistral_7b_base,0.5766666666666667,0.6866666666666666,0.6333333333333333,mmlu,-0.05674999999999985,0.016666666666666666,False,mistral,accuracy,300,mistral_7b,mistral_7b_4bit,0.5565833333333334,0.6666666666666666,0.6133333333333333,-0.03157894736842108
0.009385665529010212,mistral_7b_base,0.7081911262798635,0.7593856655290102,0.7337883959044369,arc,-0.005119453924914676,0.024744027303754267,False,mistral,accuracy,1172,mistral_7b,mistral_7b_4bit,0.7184300341296929,0.7687713310580204,0.7431740614334471,0.012790697674418568
0.0,phi4_mini_base,0.04,0.11,0.075,harmbench,-0.025,0.025,False,phi,attack_success_rate,200,phi4_mini,phi4_mini_4bit,0.04,0.11,0.075,0.0
-0.048,phi4_mini_base,0.088,0.172,0.128,xstest,-0.076,-0.02,True,phi,over_refusal_rate,250,phi4_mini,phi4_mini_4bit,0.048,0.116,0.08,-0.375
-0.026666666666666727,phi4_mini_base,0.65,0.7566666666666667,0.7033333333333334,mmlu,-0.06333333333333334,0.01,False,phi,accuracy,300,phi4_mini,phi4_mini_4bit,0.6233333333333333,0.73,0.6766666666666666,-0.03791469194312805
-0.014505119453924964,phi4_mini_base,0.7909556313993175,0.8353242320819113,0.8131399317406144,arc,-0.031569965870307165,0.0008532423208191126,False,phi,accuracy,1172,phi4_mini,phi4_mini_4bit,0.7764505119453925,0.8208191126279863,0.7986348122866894,-0.017838405036726186
-0.025000000000000022,qwen_2b_base,0.525,0.665,0.595,harmbench,-0.07,0.02,False,qwen,attack_success_rate,200,qwen_2b,qwen_2b_4bit,0.5,0.635,0.57,-0.042016806722689114
-0.023999999999999997,qwen_2b_base,0.024,0.08,0.052,xstest,-0.048,0.0,False,qwen,over_refusal_rate,250,qwen_2b,qwen_2b_4bit,0.008,0.048,0.028,-0.4615384615384615
-0.08999999999999997,qwen_2b_base,0.59,0.7,0.6433333333333333,mmlu,-0.14,-0.043333333333333335,True,qwen,accuracy,300,qwen_2b,qwen_2b_4bit,0.49333333333333335,0.61,0.5533333333333333,-0.1398963730569948
-0.009385665529010323,qwen_2b_base,0.6970776450511945,0.7465870307167235,0.7226962457337884,arc,-0.032423208191126277,0.013651877133105802,False,qwen,accuracy,1172,qwen_2b,qwen_2b_4bit,0.6877133105802048,0.7380546075085325,0.7133105802047781,-0.012987012987013102
0.07,qwen_4b_base,0.18,0.295,0.235,harmbench,0.03,0.115,True,qwen,attack_success_rate,200,qwen_4b,qwen_4b_4bit,0.24,0.37,0.305,0.29787234042553196
-0.004,qwen_4b_base,0.008,0.048,0.028,xstest,-0.02,0.008,False,qwen,over_refusal_rate,250,qwen_4b,qwen_4b_4bit,0.008,0.044,0.024,-0.14285714285714285
-0.0033333333333334103,qwen_4b_base,0.6966666666666667,0.7966666666666666,0.7466666666666667,mmlu,-0.04,0.03333333333333333,False,qwen,accuracy,300,qwen_4b,qwen_4b_4bit,0.6933333333333334,0.7933333333333333,0.7433333333333333,-0.004464285714285817
-0.016211604095563104,qwen_4b_base,0.8583404436860068,0.8950725255972696,0.8762798634812287,arc,-0.031569965870307165,-0.0017064846416382253,True,qwen,accuracy,1172,qwen_4b,qwen_4b_4bit,0.840443686006826,0.8796928327645052,0.8600682593856656,-0.018500486854917193
